날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
01-01-01,39,24,0.003,0.054,0.7,0.003
01-01-02,38,27,0.002,0.056,0.8,0.003
01-01-03,42,28,0.002,0.057,0.9,0.003
01-01-04,42,31,0.002,0.054,0.8,0.003
01-01-05,49,33,0.002,0.048,0.8,0.003
01-01-06,47,32,0.002,0.048,0.8,0.003
01-01-07,48,30,0.006,0.040,0.7,0.003
01-01-08,33,24,0.014,0.032,0.5,0.003
01-01-09,36,22,0.004,0.049,0.8,0.003
01-01-10,35,25,0.016,0.031,0.6,0.003
01-01-11,34,23,0.031,0.016,0.5,0.004
01-01-12,30,22,0.034,0.014,0.5,0.004
01-01-13,35,24,0.028,0.020,0.5,0.004
01-01-14,40,30,0.031,0.016,0.5,0.004
01-01-15,44,30,0.037,0.014,0.4,0.003
01-01-16,35,25,0.039,0.013,0.4,0.003
01-01-17,35,25,0.036,0.017,0.4,0.003
01-01-18,32,23,0.031,0.021,0.4,0.003
01-01-19,32,21,0.024,0.027,0.4,0.004
01-01-20,31,21,0.022,0.026,0.4,0.003
01-01-21,32,20,0.029,0.019,0.4,0.003
01-01-22,26,16,0.030,0.017,0.4,0.003
01-01-23,25,17,0.031,0.016,0.4,0.003
01-01-24,23,16,0.029,0.018,0.4,0.003
01-02-01,24,15,0.024,0.023,0.5,0.004
01-02-02,24,17,0.023,0.023,0.5,0.003
01-02-03,25,17,0.016,0.030,0.5,0.003
01-02-04,25,18,0.011,0.033,0.6,0.003
01-02-05,26,19,0.012,0.034,0.5,0.003
01-02-06,25,17,0.013,0.033,0.5,0.003
01-02-07,27,20,0.003,0.050,0.6,0.003
01-02-08,28,19,0.002,0.052,0.7,0.003
01-02-09,29,20,0.008,0.043,0.6,0.003
01-02-10,29,19,0.022,0.024,0.6,0.005
01-02-11,34,23,0.026,0.021,0.6,0.004
01-02-12,35,22,0.025,0.024,0.5,0.004
01-02-13,33,21,0.021,0.030,0.5,0.004
01-02-14,38,27,0.023,0.029,0.5,0.004
01-02-15,35,23,0.026,0.027,0.5,0.004
01-02-16,29,20,0.031,0.023,0.4,0.003
01-02-17,33,19,0.025,0.028,0.5,0.003
01-02-18,38,25,0.017,0.037,0.5,0.004
01-02-19,40,25,0.011,0.043,0.5,0.004
01-02-20,38,27,0.008,0.047,0.6,0.004
01-02-21,44,30,0.002,0.055,0.7,0.004
01-02-22,47,31,0.002,0.056,0.7,0.004
01-02-23,46,29,0.002,0.057,0.8,0.004
01-02-24,41,30,0.010,0.041,0.6,0.004
01-03-01,34,19,0.014,0.033,0.5,0.004
01-03-02,32,21,0.009,0.038,0.6,0.004
01-03-03,36,26,0.006,0.041,0.7,0.003
01-03-04,33,23,0.005,0.040,0.6,0.003
01-03-05,35,23,0.003,0.046,0.6,0.003
01-03-06,32,23,0.005,0.044,0.7,0.003
01-03-07,30,22,0.002,0.046,0.7,0.003
01-03-08,30,21,0.002,0.047,0.7,0.003
01-03-09,40,22,0.002,0.059,0.9,0.003
01-03-10,39,20,0.010,0.046,0.8,0.004
01-03-11,35,22,0.011,0.043,0.6,0.004
01-03-12,37,24,0.013,0.041,0.6,0.004
01-03-13,33,18,0.016,0.038,0.6,0.004
01-03-14,36,21,0.012,0.047,0.8,0.004
01-03-15,45,25,0.015,0.041,0.5,0.004
01-03-16,34,21,0.013,0.044,0.5,0.004
01-03-17,35,19,0.009,0.047,0.5,0.004
01-03-18,31,18,0.006,0.050,0.5,0.004
01-03-19,32,17,0.003,0.056,0.6,0.003
01-03-20,37,22,0.002,0.058,0.6,0.005
01-03-21,41,24,0.005,0.051,0.6,0.005
01-03-22,32,21,0.002,0.060,0.7,0.005
01-03-23,38,25,0.002,0.066,1.0,0.004
01-03-24,39,26,0.002,0.066,1.0,0.005
01-04-01,38,23,0.002,0.062,0.9,0.004
01-04-02,38,25,0.002,0.064,1.0,0.004
01-04-03,40,28,0.002,0.068,1.1,0.005
01-04-04,45,31,0.002,0.071,1.2,0.005
01-04-05,48,31,0.002,0.070,1.2,0.005
01-04-06,44,29,0.002,0.066,1.1,0.004
01-04-07,47,30,0.002,0.071,1.3,0.005
01-04-08,46,32,0.002,0.076,1.3,0.006
01-04-09,50,37,0.002,0.070,1.1,0.005
01-04-10,51,34,0.003,0.076,1.4,0.005
01-04-11,65,43,0.003,0.080,1.5,0.006
01-04-12,67,44,0.003,0.081,1.4,0.006
01-04-13,74,52,0.003,0.078,1.3,0.006
01-04-14,69,48,0.004,0.080,1.2,0.007
01-04-15,80,54,0.007,0.065,0.8,0.007
01-04-16,85,58,0.007,0.063,0.7,0.007
01-04-17,68,47,0.005,0.056,0.7,0.006
01-04-18,55,38,0.002,0.059,0.7,0.006
01-04-19,51,36,0.002,0.056,0.7,0.006
01-04-20,45,32,0.001,0.058,0.7,0.006
01-04-21,45,34,0.001,0.059,0.7,0.006
01-04-22,50,39,0.002,0.061,0.8,0.007
01-04-23,56,43,0.002,0.067,0.9,0.006
01-04-24,56,42,0.002,0.072,1.0,0.006
01-05-01,70,52,0.003,0.059,0.9,0.006
01-05-02,90,70,0.016,0.038,0.9,0.005
01-05-03,124,97,0.020,0.035,1.1,0.006
01-05-04,134,102,0.021,0.032,1.0,0.006
01-05-05,116,88,0.030,0.020,0.9,0.006
01-05-06,101,73,0.024,0.025,0.9,0.006
01-05-07,86,62,0.025,0.023,0.8,0.006
01-05-08,61,43,0.023,0.024,0.7,0.006
01-05-09,57,36,0.016,0.030,0.7,0.005
01-05-10,56,33,0.015,0.032,0.7,0.005
01-05-11,59,36,0.018,0.030,0.7,0.005
01-05-12,52,31,0.024,0.024,0.6,0.005
01-05-13,44,23,0.025,0.024,0.5,0.004
01-05-14,41,21,0.033,0.018,0.4,0.004
01-05-15,36,18,0.038,0.013,0.4,0.004
01-05-16,31,12,0.037,0.015,0.3,0.004
01-05-17,33,14,0.033,0.019,0.3,0.004
01-05-18,29,10,0.027,0.024,0.4,0.004
01-05-19,30,13,0.017,0.034,0.4,0.003
01-05-20,31,12,0.013,0.039,0.4,0.003
01-05-21,36,14,0.014,0.037,0.5,0.003
01-05-22,38,14,0.017,0.029,0.5,0.004
01-05-23,42,21,0.003,0.046,0.6,0.004
01-05-24,44,18,0.002,0.049,0.6,0.004
01-06-01,44,19,0.002,0.048,0.6,0.004
01-06-02,44,19,0.002,0.047,0.6,0.004
01-06-03,46,17,0.002,0.045,0.7,0.004
01-06-04,43,17,0.008,0.037,0.6,0.004
01-06-05,45,20,0.007,0.037,0.6,0.004
01-06-06,43,19,0.003,0.043,0.7,0.004
01-06-07,46,22,0.002,0.043,0.7,0.004
01-06-08,50,22,0.002,0.047,0.7,0.005
01-06-09,53,25,0.003,0.046,0.8,0.005
01-06-10,54,25,0.004,0.048,0.8,0.005
01-06-11,61,29,0.006,0.049,0.8,0.005
01-06-12,63,32,0.008,0.049,0.8,0.005
01-06-13,62,33,0.019,0.035,0.6,0.005
01-06-14,46,21,0.026,0.027,0.5,0.004
01-06-15,55,26,0.024,0.029,0.5,0.005
01-06-16,43,20,0.028,0.026,0.4,0.004
01-06-17,32,16,0.030,0.024,0.3,0.004
01-06-18,27,13,0.023,0.032,0.4,0.004
01-06-19,23,13,0.023,0.032,0.4,0.004
01-06-20,24,13,0.026,0.027,0.4,0.004
01-06-21,28,15,0.010,0.044,0.5,0.004
01-06-22,29,16,0.003,0.053,0.6,0.004
01-06-23,28,18,0.002,0.059,0.7,0.004
01-06-24,29,16,0.002,0.059,0.7,0.004
01-07-01,32,18,0.002,0.057,0.7,0.004
01-07-02,30,17,0.002,0.056,0.8,0.004
01-07-03,31,19,0.002,0.060,0.9,0.004
01-07-04,33,20,0.002,0.066,1.0,0.004
01-07-05,36,24,0.002,0.063,0.8,0.004
01-07-06,33,22,0.002,0.063,0.9,0.004
01-07-07,37,23,0.002,0.065,1.0,0.004
01-07-08,40,25,0.002,0.066,1.1,0.004
01-07-09,46,30,0.002,0.072,1.4,0.004
01-07-10,51,33,0.002,0.077,1.5,0.005
01-07-11,64,43,0.004,0.069,1.0,0.004
01-07-12,46,28,0.012,0.049,0.7,0.005
01-07-13,50,31,0.034,0.019,0.6,0.006
01-07-14,58,37,0.027,0.030,0.7,0.006
01-07-15,67,45,0.028,0.031,0.7,0.006
01-07-16,74,49,0.025,0.037,0.7,0.006
01-07-17,69,46,0.033,0.026,0.6,0.006
01-07-18,47,29,0.026,0.033,0.6,0.005
01-07-19,51,32,0.011,0.048,0.7,0.005
01-07-20,59,36,0.002,0.060,0.8,0.006
01-07-21,69,40,0.003,0.057,0.9,0.005
01-07-22,67,44,0.003,0.057,0.9,0.005
01-07-23,70,42,0.003,0.056,0.9,0.005
01-07-24,58,36,0.005,0.052,0.8,0.005
01-08-01,55,36,0.005,0.051,0.7,0.005
01-08-02,46,32,0.016,0.034,0.7,0.005
01-08-03,37,25,0.034,0.014,0.5,0.005
01-08-04,26,17,0.031,0.017,0.5,0.005
01-08-05,27,17,0.028,0.020,0.5,0.005
01-08-06,25,15,0.025,0.023,0.5,0.005
01-08-07,26,18,0.018,0.030,0.5,0.005
01-08-08,30,19,0.009,0.041,0.6,0.006
01-08-09,35,22,0.006,0.045,0.6,0.005
01-08-10,37,21,0.014,0.036,0.7,0.006
01-08-11,41,27,0.020,0.030,0.6,0.005
01-08-12,38,22,0.030,0.020,0.5,0.005
01-08-13,35,18,0.035,0.016,0.5,0.005
01-08-14,39,20,0.036,0.015,0.5,0.005
01-08-15,43,20,0.037,0.016,0.4,0.004
01-08-16,47,16,0.037,0.015,0.4,0.004
01-08-17,59,16,0.035,0.017,0.4,0.004
01-08-18,44,11,0.031,0.019,0.3,0.004
01-08-19,27,8,0.026,0.020,0.3,0.003
01-08-20,35,8,0.026,0.015,0.3,0.003
